,comment,author,hateful,category
999,['No tiene nada que hacer esa chorra yegua ahi!!'],UCTEhvUilw7viue9JyOv68yw,0.9902616143226624,machismo
1884,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
667,['SE RECHAZÓ MENTIROSA.!!'],UCZHacuvuSvwq-uNQ8fEWKUA,0.9850887656211852,machismo
2498,"['Armengol sinvergüenza, vendida']",UCo0kKA80COuXd2ObCLAAF9Q,0.9835193753242492,machismo
996,['Es una estúpida la Cretina'],UCwY7rgGkZYpysfMjuuU6BxA,0.9830635190010072,machismo
1596,"['En Chile están pendientes de lo que pasa en el Perú y en el Perú estamos pendientes de lo que pasa en Chile. Somos un par de viejas chismosas ja, ja']",UCAxqnxkrLyJF1yOTIK206YA,0.9823759198188782,ideología política
3242,['cállate ..poca soda....!! se droga está mujer'],UCHjew0P2QJXKLT85BvUxwsQ,0.9808219075202942,machismo
154,['🤣🤣🤣...pero si estamos en recesión desde el 21 de enero  del 2021.....no se de qué habla está cotorra..'],UCPUtmwgZHJusw70Bvdhb--A,0.9804211854934692,ideología política
2470,"['EL TEMA CON HAITI Y QUE PREVALEZCA LA RAZA NEGRA DE ESA MANERA , NO LO DICES BIEN . ES QUE HAITI LUEGO DE REVELARSE CONTRA LOS ESCLAVISTAS FRANCESES Y DECLARASE LIBRES, MATARON A TODOS LOBLANCOS QUE ENCONTARON. INCLUSO LOS FRANCESES SE ESCONDIAN EN MONTES Y CUEVAS Y ELLOS LES OFRECIAN UN PERDON Y CUANDO ELLOS SE ENTREGABAN LOS MATABAN TAMBIEN. LA FORMA PREFERIA ERA LA DEPATITACION. ESTO POR LOS ABUSOS A LOS QUE ERAN SOMETIDOS LOS NEGROS POR LOS COLONIZADORES. ES ASI COMO HAITI LLEGO A SER UN PAIS DE NEGOR CASI EN SU TOTALIDAD.']",UCzG2lRO76DmTwZfpbLoobcg,0.9798250794410706,racismo
3313,['Un africana hablando de fracaso de Allende! Q interesante! Sigan con esa mentalidad y seguirán en la edad de piedra!'],UCigvUUgrdPh8oktSdHE5eVw,0.9786569476127625,racismo
458,"['Primero rruinan económicamente a Argentina, después en viciar a la población para que no se casen, no tienen hijos para despoblar completamente la Nación. \nComo están en la ruina, y venden toda la pampa argentina a los judíos millonarios norteamericanos. \nLa tribu de los mapuches se multiplican por cien y su jefe indio lo preparan en Inglaterra. \nUna vez en la ruina y sin población, los judíos norteamericanos y los norteamericanos se hacen dueños del país. \nAlgo por igual va a pasar con todos los países hispanohablantes. Sociedad de tontos y viciosas.']",UC8wZNRu1QWzL2ZpLIrpGrtw,0.9777361154556274,racismo
1492,"['Gibraltar lo regaló un rey francés traidor a España...no se puede regalar un pedazo del país por muy rey que seas pues había población española que fue maltratada saqueada y desterrada..repoblando con extranjeros estómagos agradecidos ...Cuando se cerró la frontera la colonia era dependiente del dinero britanico...tras hacerlo paraíso fiscal y bunkering están ricos y ya no dependen del dinero ingles ...Pero lo peor es el paraíso militar y las armas nucleares ocultas en la Roca..el cableado espía ,la base de submarinos con entrada bajo el mar en base_gruta..donde permanecen cuatro submarinos armados con misiles nucleares.']",UCShcDdUnR-qqosrPcVit4yA,0.9776570200920104,racismo
990,['Que vieja soreta loco tanta gente inocente muere y esta es como un gato. Gracias a dios no los vamos a tener que ver massssssss'],UC6-YBdsRpL93N6Sboj1ivZg,0.9770947098731996,racismo
1122,"['Es una Estupida, liz Cuesta']",UC0WCA4hc2wUBH4-4UA1XHAA,0.9756976366043092,machismo
2735,"['Asi de fácil Marcos, los Argentinos hacen copas del mundo y eso los hace feliz y jodidos y los Mexicanos hacen negocios, crean infraestructura en su país, explotan su recursos natutales, hacen amigos por todo el mundo, etc. Algo importante que mejor los Argentinos morosos, racistas, boludos, paguen sus deudas que si de por sí están jodidos, no les basta con criticar a quienes les dan de comer!!']",UCXphaFn86x9rNLreAuz5Qag,0.9752591848373412,ideología política
564,"['El pais de inigrantes ahora hecha a los imigrantes solo por ser morenos y negros .\nEso es racismo , pues a los imigrantes blancos les facilitan  todo siempre .\nAhora que crearon leyes antimigrantes de lstinoamerica  les piden que se queden pero constatenente los criminalizan y le demuestan que no son bienvenidos .\nEl chiste se cuenta solo .']",UCrJ2qByonnVfDBuDdri7atA,0.9749153852462769,racismo
3340,['Los mejores son Estados Unidos los canadienses los españoles los chinos Por qué ellos vienen a invertir dinero 1 500 000 americanos son personas de la tercera edad y gastan todo su dinero en México lo mismo los canadienses los que no deberían de estar allí son los guatemaltecos los salvadoreños los hondureños los venezolanos son los peores que deberían de estar en México no aporta nada entran como Invasores Y cuándo llegan a Estados Unidos doblan las manos pero la inmigración de México no la respetan entran golpeando policías y todo entran ensuciando todo cómo lo hicieron los hondureños ellos no deberían de entrar a México los cubanos ellos sufren mucho en Cuba no nos quieren mucho los mexicanos en Miami pero en fin que te queden pero lo que son los venezolanos A qué votar los de patitas de México Por qué se creen mucho se creen que son todo igual que los hondureños los salvadoreños y los guatemaltecos no lo necesitamos a ellos no deberían de estar en México'],UCLEBwyZhZIA3q_dinzmhUYQ,0.9735692739486694,racismo
1195,['Vaya antes del siglo XV y del siglo VII y verá que los que los colonialistas son los Árabes Islámicos\n\nAdemás por su posición geográfica en una de las principales vías marítimas del mundo el futuro de Ceuta y Melilla no depende ni dependerá jamás de Marruecos como ha sido siempre a lo largo de la historia y por eso mismo son Españolas mal que le pese a la BBC y a los cipayos Hispanoamericanos a su servicio.'],UCk_jPDNmD3xE25lPvSuL8ow,0.9735230803489684,racismo
2162,['Aquí son tacaños ridiculos ectras.yo.el cubano cubanoamericano yo.el.Isel mena santos.'],UCaA38sCxv_1vHImpAam_pNg,0.9726659655570984,racismo
3296,"['Asi es la gente de a pie nada tiene que ver con la guerra y los Rusos y Ucranianos son bienvenidos a España , pero lo que me jod...es que haya Ucranianos que quieren que nosotros los españoles quitemos los simbolos Rusos de algunos lugares de españa a donde les hemos acogido, anda ya , si no te gusta donde vives porque hay Rusos y simbolos Rusos vete a otro sitio a vivir ,pero no nos des clases de modalidad']",UCjDgffOZDrMoMeM-iD9Piyg,0.9722450375556946,racismo
2168,"['Los africanos tenían lanzas y escudos, debieron pelear como leones contra los esclavistas y salvar a su pueblo, sus mujeres, sus niños, sus tierras.']",UCvyV0G09Cpw95CHZe6Z9ljw,0.9714791774749756,racismo
895,['Los saqueadores gringos no son bien recibidos en ningun paises porque se meten y saquean de paises mas debiles que ellos.'],UCK9FK4QNI4wYBYKovAHxEJQ,0.970636785030365,racismo
3339,"['China lo que ha hecho es poner a pagar el resto del mundo en producción de monóxido y ellos se ahorraron, para luego superarlos, pero eso es bueno así los inmigrantes se vallan a China']",UCUZqMQ91S5FHDYTTy_lqD5Q,0.970346987247467,ideología política
899,['Gringos buitres'],UCkWyuzpN68UFUfxDzYNp8oA,0.969835877418518,racismo
1086,['Flaca deja de decir libre mercado todo el tiempoooooiooooo'],UCzu_LkvLIsrc5RksOpdRw5A,0.9693171381950378,ideología política
1363,"['Primero tienes que explicar a la gente de dónde viene ese pueblo saharaui\nAl principio era un grupo de terroristas creado por Argelia, Libia y Egipto \nAdemás,  los saharauis que viven  en tinduf  viven la pobreza la dictadura  los pobres los obligan de quedarse ahí y los que están aquí en España o Francia disfrutan con el dinero de Argelia']",UCNFmONFSfu6253KmyNl5TVQ,0.9692410826683044,racismo
3341,['Yegan a México y se los mandamos a los gringos y canadienses'],UCZ2dWArohVi3DZyZN7pLjgQ,0.9691122174263,racismo
727,"['Lo que deberían de condenar son los intentos gringos de desintegrar a Rusia usando a Ucrania y sus vasallos europeos. Y para los supremos ignorantes de la situación, generalmente manipulados por medios como este, va: Why is Ukraine the West s Fault, expuesta por un geopolítico gringo de la U de Chicago. Es conocimiento libre, accesible. Y los países  no vasallos de los gringos, por lo mismo no ignorantes y ni manipulados, no condenan lo que quieren los gringos.']",UCfyx26q4TfaIzSJGkWLgcMg,0.9681782126426696,ideología política
1239,['Chile es mejor gracias a las riquezas que arrebato sus riquezas naturales a bolivia y al Perú  por el intervencionismo Inglés en apoyo directo en la guerra del pacifico. Por esto Nunca chile será potencia ya que los rotos son esclavos de los ingleses.'],UCiS8sWUGHcEBenJUG1r76KQ,0.9681332111358644,racismo
1710,"['DAR GRACIAS A EE.UU QUE LES MANEJA COMO TITERES A LOS EUROPEONES, LOS HACE PELEAR POR SUS INETERESES ECONOMICOS Y SOBERANOS, EXPULSEN A LOS OLIGARCA YANKEES DE TURNO, QUE EE.UU SE ENCARGO HACE MUCHO TIEMPO EN COLOCARLOS PARA QUE JUEGUEN A SU FAVOR.']",UCikywVGz0QQqbL_2qeXkJxg,0.9679386019706726,ideología política
