,Unnamed: 0,video_id,author,comment,comment_stem,vectores_tfidf,sentiment
0,0,WdtyLi2wBDs,UC1rwE0pwb1Q_m0Cefl-bVOA,Todos los de la monarquia són únos vividores! Estan allí por el dinerito y la buena vida,monarquia vividor estan dinerito buena vida,[0. 0. 0. ... 0. 0. 0.],-1.0
1,1,WdtyLi2wBDs,UC1rwE0pwb1Q_m0Cefl-bVOA,Sabeis porque el viejo se fue de españa? Porque tenia miedo de que lo mataran. Su esposa.,sabei viejo espa tenia miedo mataran esposa,[0. 0. 0. ... 0. 0. 0.],-1.0
2,2,WdtyLi2wBDs,UCTkpp46iUcTXPh_bjDgOZCg,De hecho me hubiera gustado que mi país (venezuela) hubiera hecho una monarquia que hubiera podido sucre (en ese entonces muchos proceres eran muy monárquicos) o Juan Vicente gomez,hecho gustado venezuela hecho monarquia podido sucr entonc procer rquico juan vicent gomez,[0. 0. 0. ... 0. 0. 0.],0.0
3,3,WdtyLi2wBDs,UCPOFnRYCCd5mEoAuoSyAAxA,"1er error. Me la pela qué no se haya votado porque es la mejor persona para ese puesto. La peticion de principio es ideal no practica. Es decir el argumento medieval sobrevive en su razonamiento. ( Tal cosa es evocada por los pensadores conservadores del siglo XVIII Edmund Burke o el mismo Hobbes) esto ya ha sido re estudiado con seriedad practica por Pierre Bourdieu en el siglo XX  ( los herederos) o por Pierre Rossanvalon ( El gobierno representativo) la idea del hombre crecido para gobernar es una transplantacion del mesianismo muy comun en las sociedades judeocristianas. 2 error. La monarquia  si es mucho mas cara que la républica 2.1  EL valor de la monarquia tiende a separar su financiamiento estal y su supuesto auto-financiamiento para asi esconder el gasto socio-politico, en la mayoria de las poco transparentes cuentas en Inglaterra se separa el dinero recibido por los contribuyentes y el dinero de sus sociedades adquiridas por paramilitarismo ( miles de tierras son usurpadas para financiar al rey en inglaterra) haciendo pasar esa riqueza como propia y sacandola de la contabilidad. 2.2 Cuando engloban el gasto de la republica se suele normalmente englobar el gasto presidencial sin embargo esto varia dependiendo del regimen politico, en alemania suiza o en italia por ejemplo es realmente bajo. 3error La monarquia contradice el principio liberal de la responsabilidad, la démocracia es el unico modelo liberal porque en una democracia si tu eleccion no funciona la responsabilidad es traducida en un angulo real( eligi mal) asi que puedo corregir esa eleccion y pobrar de nuevo, en una monarquia ( al no tener oportunidad de eleccion) la responsabilizacion del elector y el monarca no esta en entredicho. 4 El libertarismo no es mas que una reactualizacion del conservadurismo, y la mejor manera de denominarlo es liberalismo-conservador. Ud senor no es liberal ni intelectual ni politicamente es unicamente un conservador del Siglo XXI.",error pela votado mejor persona puesto peticion principio ideal practica decir argumento mediev sobrev razonamiento cosa evocada pensador conservador siglo xviii edmund burk mismo hobb sido estudiado seriedad practica pierr bourdieu siglo heredero pierr rossanvalon gobierno representativo idea hombr crecido gobernar transplantacion mesianismo comun sociedad judeocristiana error monarquia cara publica valor monarquia tiend separar financiamiento estal supuesto auto financiamiento escond gasto socio politico mayoria transparent cuenta inglaterra separa dinero recibido contribuyent dinero sociedad adquirida paramilitarismo mile tierra usurpada financiar inglaterra haciendo pasar riqueza propia sacandola contabilidad engloban gasto republica suel normalment englobar gasto presidenci embargo varia dependiendo regimen politico alemania suiza italia ejemplo realment bajo error monarquia contradic principio liber responsabilidad mocracia unico modelo liber democracia eleccion funciona responsabilidad traducida angulo real eligi puedo corregir eleccion pobrar nuevo monarquia tener oportunidad eleccion responsabilizacion elector monarca entredicho libertarismo reactualizacion conservadurismo mejor manera denominarlo liberalismo conservador senor liber intelectu politicament unicament conservador siglo,[0. 0. 0. ... 0. 0. 0.],0.0
4,4,WdtyLi2wBDs,UCgW7xHsCcD7fCUpo0g0OkeA,La mayoría que son republicanos la verdad es por que estan de moda o seo piensan,mayor republicano verdad estan moda piensan,[0. 0. 0. ... 0. 0. 0.],-1.0
5,5,WdtyLi2wBDs,UCgW7xHsCcD7fCUpo0g0OkeA,Concuerdo totalmente,concuerdo totalment,[0. 0. 0. ... 0. 0. 0.],0.0
6,6,WdtyLi2wBDs,UCe4DyAgY27gIlhTMUFRgddw,"Buenos días, hay otro argumento, para mí muy importante. España, país lleno de tradiciones e historia, estaría esta figura también. La casa real es historia viva. Si queremos conservar el acueducto de Segovia, las fallas de Valencia, semana Santa. También hay que hacer un ejercicio de conservación de la casa real. España como tú bien dices, cada vez que se ha implantado una república, ha acabado en baño de sangre. Y esto es también parte de nuestra historia, por lo tanto la opción más práctica es conservar esa parte de nuestras tradiciones e historia que es la monarquía. Un saludo a todos.🖐🏻👏🏻👏🏻👏🏻👏🏻👉🏻👍🏻💪🏻🖖🏻",bueno argumento important espa lleno tradicion historia figura tambi casa real historia viva queremo conservar acueducto segovia falla valencia semana santa tambi hacer ejercicio conservaci casa real espa bien dice cada implantado blica acabado sangr tambi part historia opci ctica conservar part tradicion historia monarqu saludo,[0. 0. 0. ... 0. 0. 0.],0.0
7,7,WdtyLi2wBDs,UCW1_64QJukG8Nx-ElnUfmZg,Totalmente de acuerdo …. Mejor explicado imposible  !,totalment acuerdo mejor explicado impos,[0. 0. 0. ... 0. 0. 0.],0.0
8,8,WdtyLi2wBDs,UCtu8pIY2E4SqdxkPvCs2fBQ,"Señor Cabello, si una república significa una forma de gobierno elegida mediante sufragio universal, con voto directo, secreto y sin listas; con un sistema bicameral ( congreso y senado); con una serie de derechos y obligaciones, en donde todo individuo es igual ante la Ley....entonces sí quiero una república. PERO NO ( y enfatizó el ""no"") este modelo de república que nos quieren vender Sánchez y sus compinches, en donde estaríamos en manos de catalanes y vascos ( pagándoles todo lo que ellos quisieran y sometiéndonos a sus dictados). Al final, el Rey es un mal menor frente a los de bildu, los independentistas y los de podemos. Del psoe ya ni hablo.",cabello blica significa forma gobierno elegida mediant sufragio univers voto directo secreto lista sistema bicamer congreso senado seri derecho obligacion individuo igual entonc quiero blica enfatiz modelo blica quieren vender nchez compinch amo mano catalan vasco ndole quisieran someti ndono dictado final menor frent bildu independentista podemo psoe hablo,[0. 0. 0. ... 0. 0. 0.],0.0
9,9,WdtyLi2wBDs,UCiC-gMBBwMTooB6QDiMzn8Q,"Increíble!!, por esto China y varios paises asiáticos estan mucho mas avanzados que el decadente occidente",incr china vario pais tico estan avanzado decadent occident,[0. 0. 0. ... 0. 0. 0.],-1.0
10,10,WdtyLi2wBDs,UCdq7fdTrbViMVR1iePL5bVQ,Hay una charla de Bastos sobre la monarquía muy convincente,charla basto monarqu convincent,[0. 0. 0. ... 0. 0. 0.],0.0
