,comment,author,hateful,category
2125,['No tiene nada que hacer esa chorra yegua ahi!!'],UCTEhvUilw7viue9JyOv68yw,0.9902616143226624,machismo
4797,['Tomala pendeja!!! ❤❤❤❤'],UC2foO3LO9HG4pgqSaG8w5rg,0.9902509450912476,machismo
1605,['Loca feminista busca ayuda psicológica y mental Nadie se fijara en ti pides mucho pero a la final no das nada No quieres q te mantenga da risa escuchar hablar estás feministas tostadas jaja nadie se fijara en una maniática jaja'],UCOmDcFoShBGoLgN6eLIgfng,0.9898762106895448,machismo
2649,['Tremena ignarante pta mugrienta'],UCuMf5lk3iQJ_jDdJUeDPpJA,0.989597499370575,machismo
242,['Dime otro chiste feminista de mrd jajaja😂'],UCck1p1lhQhEH6M_CxxQAFog,0.9893178343772888,machismo
2919,['Pura vieja pendeja sin oficio'],UCX7BMk_D19ro757SW9u9hlg,0.9890979528427124,machismo
2631,['Askerosa montero'],UC-0dwNocMfFeLmJI6YBT4FQ,0.9887861013412476,machismo
5002,"['Petarda, fascista, bulera.']",UChFzMyAZ3zrnR21PwieIO-w,0.9886729121208192,ideología política
2412,['Otra loca feminazi \nDe que que quiere concientizar ?'],UCLIpzsEPAPG3_aw1agackxQ,0.9884992241859436,machismo
1504,['FEMINAZILOCAS'],UCT0kKZxbALb0H5qpp9_kRlg,0.9884257316589355,machismo
1510,['Pndeja'],UCj7UdrJfh7Pe0anWwzvZw-Q,0.9883472323417664,machismo
2389,['Pobre Endeja 🖕🖕🖕'],UC2aiKINelZqLCCSZ4yLE0bQ,0.988037109375,machismo
2641,['REUNION DE PAYASAS RESENTIDAS.'],UCq3Slgfz1iJQ-eX8pmn85RQ,0.9877309203147888,machismo
6185,['Pues a mi no me molesta esra tiparraca.. Ni siquiera la escucho😎😎 si diera las entrevistas en toples pues a lo mejor si que escucharia sus gilipolleces 😂😂😂😂😂😂😂'],UCbk9qSZurbmVPFWY3cYH67w,0.9875940680503844,machismo
6001,['La mujer esa..la tal Paquií es muy agresiva.'],UCIPxfwyQ8TkEonWl6Z5PaIg,0.9873636364936828,ideología política
1217,"['Cuatro histericas, la histérica de quinta eres tu...']",UCR2l2TKvY30zlZMDOEKZA3g,0.9870823621749878,machismo
1884,['Al calabozo por inrrespetuosa😂'],UCpYiOBg9NmbC7A56CU3PxMg,0.986993968486786,machismo
1096,['Ser feminista en España y Argentina es ser una loca histérica que le hace falta mucha terapia y educarse en el sentido de saber que es lo que salen a reprochar.'],UCXKw9iCCYRoEMQ8ZYt7meeQ,0.9869183897972108,machismo
1414,"['Pobrecilla k eres.. oprimidita.. no se te deja ni respirar ni dar tu opinion ni insultar ni vivir bien no. Dile esto a las chicas arabes y demas africanas, k esas si k necesitan ayuda, no vosotras torpes k ya no sabeis ni k quereis, tenein tantos privilegios k ni os dais cuenta y ademas quereis destrozar al hombre, pero lo que no sabeis es que el hombre fue, es  y será el dueño del mundo, no las mujeres, asi que espabilad MUJERES FEMINISTAS ESTUPIDAS.']",UCgYyV6UuuHbgJLDN_wk_i5g,0.986525535583496,machismo
4616,['Que payasa esta femenina 🤣🤣🤣🤣🤣🤣'],UCyzQaIf5ahG8JpWEfNCkLdA,0.9860450625419616,machismo
1586,"['Vaya rata cobarde,y esas mujeres igual de cobardes.']",UCtEMMN1FxMBI_4v9yPnwnOg,0.9860433340072632,machismo
5269,"['Esa es toooonnnta. Pero ¿qué se creerá, que las mujeres de más de.60 somos niñatas, como ella?']",UCpIAGYafx0hrT4GCfqQAS8w,0.9859355688095092,machismo
2155,['La loca de la carla se va a quedar sola y amargada'],UCA0f8Gh9hzfRKaL5MGXyDnw,0.9857622385025024,machismo
2170,['Patricia Sarnosa'],UC_Uu4oMJKesHD-TY2mdhheg,0.9857383966445924,machismo
5110,['Feminazi!!🖕🖕🇪🇦'],UCK0Zl1P5opje-nZbFRIKaZQ,0.9857085943222046,machismo
4920,['Ahhh esa señora ya la había visto antes y es bien pendeja'],UCRJKiBeXF3-12stCfNCprzw,0.9856239557266236,machismo
1612,['😂😂😂😂 Que bruta póngale 0'],UCT0dHR9hMe4kXLHhXDf1AkQ,0.9853819608688354,machismo
220,['Locas feministas ignorantes'],UCfduW4hY5NsCuz_X3ni2uMw,0.9853680729866028,machismo
888,['Surda de cuarta..vamos milei la dejaste llorado'],UC8hk-kxpnBQ5FbL3Cm1VxKg,0.9853023290634156,ideología política
4701,"['Roma, ten claro que es una enferma la fifi']",UCm_Q_2vPk4pfkODgG22BnQA,0.9852315187454224,ideología política
4945,['Esa vieja no sabe un pelo de lo que dice'],UCHLb_8QAu8RYgilhuXrShaA,0.98521888256073,machismo
3948,"['Con uñas de medio metro poco va a trabajar esa chica, las pijas siempre dicen tonterias jajaja']",UCYWWSdEUoSiEGrzfTLhUcxg,0.9851261377334596,machismo
4930,['Tas mensilla mija\nYa duba busca feminista en El diccionario'],UCMuIIzfyWsx0jD4knlTJvJA,0.9848707318305968,machismo
4187,['Malditas enfermas'],UCFGXZWie1h-EoTiKvGpYynw,0.9846407175064088,machismo
1100,['Que estupida mujer! 🤦'],UCub_IqJkFWZm0YOKeGiHdLg,0.9845432639122008,machismo
2162,['Sarnosa...mas que Sornosa. Dios que mala es'],UCFTls8nocdvdiqHp7JvkMgQ,0.984319508075714,machismo
2981,['A mi no me gusta esta señora es muy mandona y prepotenta siempre tiene la razon'],UCU2fsvRaTNH3uyNsOoIx4FA,0.9842610359191896,machismo
2029,['GRACIAS MUJER MODERNA...AHORA ERES NO IGUAL...MAS PENDEJA QUE EL HOMBRE'],UCxZ73Pn2JjC8uyh-CnLaJfg,0.9841932654380798,machismo
2130,['Quien se cree esa imbecil? Estados Unidos está donde está por equivocarse y rectificar tonta que no sabes ni quien eres.'],UCCV9nF3DdufetjTXurrRM_A,0.984118103981018,ideología política
3342,['Resentida feminista'],UCz_cl0kzsLHohK_mXAOuDVQ,0.9840734601020812,machismo
1588,"['Jajjaja que igualdad piden, solo quieren ser privilejiadas, pinche pendejas no dejan trabajar']",UCQpTv-VQKrJ8V_qZlhGgOew,0.983922004699707,machismo
456,['Okey wacho esa mujer es tremenda gilarda'],UCEBff3YXdSOAHT3yqdbEIAA,0.9839163422584534,machismo
3654,['tu discurso de odio aniquilo a la gorda patetica sin amor  y falta de atencion'],UC5rl-scwdh5DUQWBDQm_MNA,0.983810305595398,ideología política
1175,"['Melie bos ser una guacamaya mal educada, dejar hablar ala dama que tambien tiene algo que aportar.']",UCkIwJuXJShmoyk7-yJbVkDA,0.9834206700325012,machismo
448,['Es de mala educación no mirar a la persona que te está hablando sapa culia😂'],UCBs3tzIrqCuybygkNT9_o6A,0.9832153916358948,machismo
2122,['Es una estúpida la Cretina'],UCwY7rgGkZYpysfMjuuU6BxA,0.9830635190010072,machismo
275,['Tu de española no tienes nada pañuelitos'],UCNk1pYHAqLZESuG1iPbDRaQ,0.9829500913619996,racismo
4330,['Golfa nazi'],UCYkSfVEbFA2Ie4rQ8sNpZ9A,0.9827862977981568,ideología política
1882,['Esa mujer es una cobarde  y el marido un calzonazos'],UCnUo59mKMQ9E5rIp31VClMA,0.9827075600624084,machismo
1606,"['Jajajaja seguro que sí señorita jajaja, que risa da esa enferma adoctrinada.']",UCS9iMhQByU7cv9UDLL-YgSw,0.9826080203056335,ideología política
1956,"['Sol perez es una burra, una intrascendente.']",UCgzGl39S52CXQVGh8rEfF0w,0.9825640320777892,machismo
779,['que verguenza que esa mujer sea de argentina'],UCYJ8g7_dZyFysJYu_MX_scw,0.9823399186134338,racismo
1241,['Alarmante casos de homosexualidad ?? Maldita enferma !!! Hablan de Irene pero la otra es una desubicada'],UCFRI7gOVMgkAI61D6lje7Wg,0.982326090335846,ideología política
2593,['Que tiene que ver que se cambie el físico? Tú siempre valoras a la mujer por la belleza  y nada más. Tú eres tan mujer como misógina.'],UC6Rg8asDiKOO5BqxWba47lw,0.9822925925254822,ideología política
2688,"['Ser feminista es una lesbiana fea, de pelo corto con pelos en los sobacos y envidia de pene!!']",UCnLYcDivBRCffAOGYktGRxQ,0.9821889996528624,machismo
