,Unnamed: 0,video_id,author,comment,comment_stem,vectores_tfidf,sentiment
0,0,a7it63FFDYQ,UCCxYKcRLEbe6EusqL5OQBfg,Gracias!! Yo sufri una denuncia falsa!! :( Es lo más traumatico que he pasado...,gracia sufri denuncia falsa traumatico pasado,[0. 0. 0. ... 0. 0. 0.],-1.0
1,1,a7it63FFDYQ,UCSG2kGc5Eo4uaGVGpZDPfvw,que aire mas fresco el escuchar a una mujer hablar con tanto sentido comun. gracias por tu contenido 👏,air fresco escuchar mujer hablar comun gracia contenido,[0. 0. 0. ... 0. 0. 0.],1.0
2,2,a7it63FFDYQ,UCmQhCCXFJv-UoJRrodVx_SA,"La violencia no tiene género, viva España viva vox, extrema necesidad.",violencia nero viva espa viva extrema necesidad,[0. 0. 0. ... 0. 0. 0.],-1.0
3,3,a7it63FFDYQ,UCTYWAaYoawlQZidmzUeQDQw,"Gracias por decir las cosas tal cual son, faltan personas con sentido común que expliquen las cosas como realmente son por muy simples que parezcan, ya que el interés por manipular es enorme. 
Vivimos tiempos donde la información tiene demasiado peso en las conciencias de las personas y esto que haces es realmente necesario.
Tienes un seguidor más, puesto que me siento cada vez más sensibilizado por este tema después de conocer muchos casos de HOMBRES AFECTADOS, más que de mujeres maltratadas.",gracia decir cosa faltan persona expliquen cosa realment simpl parezcan inter manipular enorm vivimo tiempo informaci demasiado peso conciencia persona hace realment necesario seguidor puesto siento cada sensibilizado tema despu conoc caso hombr afectado mujer maltratada,[0. 0. 0. ... 0. 0. 0.],-1.0
4,4,a7it63FFDYQ,UCKSkZ-UBv7IDny45Er0JEPQ,"Hola ,quisiera de tu consejo, mi hermana vive una situación  aterradora con su pareja, ellos llevan 18 años juntos ella tiene 32 años, puedo describir a esa persona como narcisista,  y lo peor es que ella ya se acercó a las autoridades y como el conoce a muchas personas en el gobierno su denuncia nunca procede, ella vive con miedo y ya no sabe que hacer...lo ha intentado dejar en varias ocasiones pero regresa siendo amenazada , tiene 3 hijos y los tiene tan entrenados a ellos que los pone en contra de su mamá, él se dedica a cosas malas pero paga a la autoridades 😢que podemos hacer😢",hola quisiera consejo hermana vive situaci aterradora pareja llevan junto puedo describir persona narcisista peor acerc autoridad conoc mucha persona gobierno denuncia nunca proced vive miedo sabe hacer intentado dejar varia ocasion regresa siendo amenazada hijo entrenado pone dedica cosa mala paga autoridad podemo hacer,[0. 0. 0. ... 0. 0. 0.],-1.0
5,5,a7it63FFDYQ,UCdca8vWQNEfwNyNjAJTMctg,"Ya ustedes mujeres tienen sus trabajos, sus hijos sin padre, sus clinicas de aborto y sus bancos de semen.
Fuera de eso ya ustedes tienen su vida completada y no nos necesitan.
Por mi parte les deseo el mejor de los exitos.",usted mujer trabajo hijo padr clinica aborto banco semen usted vida completada necesitan part deseo mejor exito,[0. 0. 0. ... 0. 0. 0.],1.0
6,6,a7it63FFDYQ,UCdca8vWQNEfwNyNjAJTMctg,"Ademas del porno que tantas vidas de hombres ha salvado, el surgimiento de los ""Robots Sexuales"", la inteligencia artificial herotica y los grupos de apoyo de hombres solteros independientes me parece que ya no hay ni razon, ni motivos, ni motivacion para salir con una femina y menos casrse o tener hijos.  
Cualquier hombre joven puede vivr una vida plena, libre del riesgo de las denuncias falsas y a la vez dejar la puerta abierta por si acaso algun dia cambia de opinion. 
Realmente me da tristeza todos esos hombres que compraron el sueño de la familia eternamente feliz.",adema porno tanta vida hombr salvado surgimiento robot sexual inteligencia artifici herotica grupo apoyo hombr soltero independient parec razon motivo motivacion salir femina meno casrs tener hijo cualquier hombr joven pued vivr vida plena libr riesgo denuncia falsa dejar puerta abierta acaso algun cambia opinion realment tristeza hombr compraron familia eternament feliz,[0. 0. 0. ... 0. 0. 0.],0.0
7,7,a7it63FFDYQ,UC2wpIsMIq7DJxmaF91dJFbw,"Perdonad quiero compartir algo que me ocurrió personalmente hace unos días y lo digo con toda la sinceridad del mundo y me ha dejado traumatizada esta situación . Resulta que quedó con una chica que está pasando por malos momentos y decido ayudarle llevándola a mi casa y dándole una cama donde dormir ducharse y comer durante un par de días ... Lógicamente yo tengo mi vida y no puedo mantener a nadie le expliqué que como favor le puedo echar un cable unos días pero hasta ahí ... Por la mañana le tocó a su habitación y le comento que tenía que levantarse porque había quedado para almorzar con unos amigos míos, tuve que insistir varias veces puesto que no quería levantarse de la cama se lo dije varias veces y accedió. Yo ya estaba un poco mosqueado con su actitud y me dice que la acercara al centro de la ciudad que ya se buscaría la vida .... Le digo bueno , pues nos subimos en el coche y cuando llegamos al centro le digo ya estamos aquí donde te dejo ,? Y me dice que no se quiere bajar del vehículo está mujer cuando no padece que yo sepa ningún trastorno mental ni nada por el estilo pero yo ya estaba asustado y preocupado porque no quería bajar del coche , de modo que me acerco a una pareja y le digo que por favor me ayuden a convencer a esta mujer para que baje del coche y me decía que no que iba a llamar a la policía que soy un sinvergüenza y que le he intentado acosar . Finalmente la pudo convencer diciendo oye te doy dinero y tabaco si quieres pero suplicándole le dije que se bajará del coche y con mucha suerte lo conseguí. Yo tenía miedo de llamar a la policía porque tal cómo está la ley hoy en día me hubiesen metido en el calabozo solo con una simple denuncia de ella . Ustedes creeis que esto es normal lo que estamos viviendo en esta sociedad ? Es que ante esta situación como puede reaccionar uno ? Pensé que buscaba la ruina después de como me porte con ella porque me quiso hacer daño que quería de mi? Gracias",perdonad quiero compartir ocurri personalment hace digo toda sinceridad mundo dejado traumatizada situaci resulta qu chica pasando malo momento decido ayudarl llev ndola casa ndole cama dormir duchars comer gicament vida puedo manten nadi expliqu favor puedo echar cabl habitaci comento levantars quedado almorzar amigo insistir varia vece puesto quer levantars cama dije varia vece accedi mosqueado actitud dice acercara centro ciudad buscar vida digo bueno pue subimo coch llegamo centro digo dejo dice quier bajar culo mujer padec sepa ning trastorno mental estilo asustado preocupado quer bajar coch modo acerco pareja digo favor ayuden convenc mujer baje coch llamar polic sinverg enza intentado acosar finalment pudo convenc diciendo dinero tabaco quier suplic ndole dije bajar coch mucha suert consegu miedo llamar polic metido calabozo solo simpl denuncia usted creei normal viviendo sociedad situaci pued reaccionar pen buscaba ruina despu port quiso hacer quer gracia,[0. 0. 0. ... 0. 0. 0.],0.0
8,8,a7it63FFDYQ,UCUjawXWCbZTX1dPy2HOyRww,"Hija mía, que gusto da oírte.... Creía que estaba loco yo.... Alguien por fin con sentido común, que habla objetivamente sin el mantra de siempre.",hija gusto loco alguien habla objetivament mantra siempr,[0. 0. 0. ... 0. 0. 0.],1.0
9,9,a7it63FFDYQ,UCTzl4G6p1-CBEz6TWq2HiFA,"Otra idea.. autopsia a todo hombre muerto  en el ámbito familiar, por si la causa fuera envenamiento.",idea autopsia hombr muerto mbito familiar causa envenamiento,[0. 0. 0. ... 0. 0. 0.],0.0
