,comment,author,hateful,category
1668,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
2466,"['Esta mina esta acostumbrada a un pais que es mas chico que bs as, si ahi no tienen cobertura de celular en todos lados pretende que nuestro pais de miles de km con todo naturaleza de por medio lo tenga jajja. Somos sudamericanos muy orgullosos de serlo y esta tipa se le cayo la careta y demostro el racismo que tiene']",UC1cpVhCcZ2JVXjddlkwLRNw,0.9884281754493712,ideología política
2480,['Drogadicta inmoral desagradable mala yerba'],UCjEnbG4HbMqIuFguVlZjQcw,0.9882020354270936,racismo
3100,['TRAIDORA DE MIERDA'],UCAdWZIg-4oh0i2QqWeTVsvA,0.9873141646385192,ideología política
1700,['Esa vieja en problemas lo va meter'],UCPD73ZEBUiveA7GnDoaWaxg,0.9870298504829408,ideología política
3541,['TOMATELA PLANERA DE MIERRRRRR CON TODAS TUS PELICULAS DE MIERDDDDDD\n...💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩'],UCQVxduXZg1gYXa9JoD4p75Q,0.9864582419395448,machismo
590,"['que amiga te da todo de a gratis, jajajajajajajaja esta es media cojudita.']",UCwP0ry6yV8coNvhTn02h73A,0.9853608012199402,machismo
240,['Histérica prepotente'],UCyaqfHGyfRnjsyqEaaRFQFg,0.9852745532989502,machismo
3130,['Estas enferma.'],UCA5bUYa21DWuoQuO8xumipQ,0.9852257370948792,ideología política
1685,['SE RECHAZÓ MENTIROSA.!!'],UCZHacuvuSvwq-uNQ8fEWKUA,0.9850887656211852,machismo
3807,['VIVA AMLO Y LA 4T 🇲🇽💯❤👑\nY EL TREN MAYA vieja taruga'],UCo_yTeOQ_uTse9c_3ELx9Eg,0.983630359172821,ideología política
3723,['Loca de mierdad la mama'],UCL3svv8nLbtWvAeRMM13iOQ,0.9832363724708556,ideología política
309,['No pasó nada lo único que quiere esta tia es dinerito fresco mentirosa!!'],UC8QiqvwbFHPx9k-UzSA390w,0.9816274046897888,machismo
2972,['Que muñeca más malvada jj'],UCsgUX4s_NmW-_0bU_T7hazQ,0.9813856482505798,ideología política
1724,['Le muestran evidencia y se pone extrambotica la mujer q show.'],UCp7KAiABQBa9yoDSaJq6fuA,0.9805548787117004,ideología política
1697,['Mentirosa los hospitales pícara'],UCv5e_17Rv2a2OEqP--axkgA,0.9802930951118468,ideología política
1592,['Se ve igual de pedorra'],UCPKpvmrHBkiSYFDEcBAtAfw,0.9801820516586304,ideología política
3652,"['Ella nos esta haciendo recuperar el pais por vias democráticas. Los que dicen que el abusador se saca a la fuerza... que fuerza? Los venezolanos pelean con su dia a dia para llevar alimentó a sus casas; la armada? Tambien pobre, debilitada, corrupta  y viciosa; Entes internacionales? 😂  Los gringos?']",UCU0uPWi9IDlsSuTRHpM7HZg,0.9795154929161072,ideología política
