,Unnamed: 0,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,c_hateful,aggresive,targeted
0,4,V8gDOj2V6Wo,UC_uq4nmAsi3fFo0JOHKZ63w,"Diré como dijo un sabio
Las Mujeres solo sacan la bandera del feminismo cuando les conviene y cuando no c kG@N en eso :v
Edit : sin miedo a la funa",[0. 0. 0. ... 0. 0. 0.],dijo sabio mujer solo sacan bandera feminismo convien edit miedo funa,-1.0,0.8158197402954102,0.20298169553279877,0.06678285449743271
1,8,V8gDOj2V6Wo,UCqm9U-VBVJQ9Zp0KCwK8hFA,Tiene razón. Ella defiende en igualdad de la mujer pero desprecia el feminismo radical que causa la guerra contra el hombre,[0. 0. 0. ... 0. 0. 0.],defiend igualdad mujer desprecia feminismo radic causa guerra hombr,-1.0,0.4692480266094208,0.06904035061597824,0.021769434213638306
2,12,V8gDOj2V6Wo,UC4wouUxcJ4UL7LpbHgJ0kEA,"Jamas va prejudicar a las mujeres al contrario las va benediciar sobre todo con la IA, como hombre no puedo tener descanso estas si no laburan reciben todo sin trabajar no pagan impuestos son anti ambientalistas desde el ambientalismo procrea hijos y comparte tu mujer para el ques hombre",[0. 0. 0. ... 0. 0. 0.],jama prejudicar mujer contrario benediciar hombr puedo tener descanso laburan reciben trabajar pagan impuesto anti ambientalista ambientalismo procrea hijo compart mujer que hombr,-1.0,0.4152382016181946,0.10177595913410187,0.01805153861641884
3,13,V8gDOj2V6Wo,UCIdVhVzoqFa3t1zVhD5AM3g,"Yo lo llamo como Agustín L.
Feminazis",[0. 0. 0. ... 0. 0. 0.],llamo agust feminazi,-1.0,0.9340838193893433,0.793431282043457,0.8788978457450867
4,16,V8gDOj2V6Wo,UCdH17vlVLUyjUgs_PMJeO0w,"El feminismo surge tb como un movimiento de clase frente a los abusos del capitalismo. No hay que olvidar que la primera cesión de voto a las mujeres en Reino Unido fue rechazado por la mayoría del movimiento al limitarse solo a las mujeres propietarias. No en vano prácticamente todas las grandes teóricas del feminismo han sido de izquierdas: Stonewall, Rosa Luxemburgo, Simone de Beauvoir, Chimamandra Ngodi, Butler. Etc. seguid así, fomentando una ideología que destruye el planeta",[0. 0. 0. ... 0. 0. 0.],feminismo surg movimiento clase frent abuso capitalismo olvidar primera cesi voto mujer reino unido rechazado mayor movimiento limitars solo mujer propietaria vano cticament toda grand rica feminismo sido izquierda stonewal rosa luxemburgo simon beauvoir chimamandra ngodi butler seguid fomentando ideolog destruy planeta,-1.0,0.33027783036231995,0.09477964043617249,0.015117190778255463
5,17,V8gDOj2V6Wo,UC4BGjHBSPKUdO2sgZS2iqbw,Hate,[0. 0. 0. ... 0. 0. 0.],hate,-1.0,0.0665355995297432,0.07693113386631012,0.03875783830881119
6,18,V8gDOj2V6Wo,UC4BGjHBSPKUdO2sgZS2iqbw,Hate,[0. 0. 0. ... 0. 0. 0.],hate,-1.0,0.0665355995297432,0.07693113386631012,0.03875783830881119
7,19,V8gDOj2V6Wo,UCBoboBTOYmcyFKDgoH_IOYA,"El verdadero feminismo fue opacado. Lo que vemos hoy es un grupo minoritario con traumas no tratados por especialistas,por lo tanto buscan sanación dándole rienda suelta al odio y al rencor. Lo que yo he observado en grupos de mujeres que se llaman feministas, es simplemente mujeres enfermas de odio y rencor, a eso le sumamos que también son mujeres sexualmente enfermas.( Lesbianas). Y no  me vengan con que estoy discriminando, pues no ,no estoy exagerando, todo ser humano que rechaza su género padece de ""DISFORIA"". Y bueno con el tiempo el concepto ""feminismo"" murió cuando inescrupulosos e inescrupulosas se colgaron de este movimiento con intereses políticos, económicos y sexuales.",[0. 0. 0. ... 0. 0. 0.],verdadero feminismo opacado vemo grupo minoritario trauma tratado especialista buscan sanaci ndole rienda suelta odio rencor observado grupo mujer llaman feminista simplement mujer enferma odio rencor sumamo tambi mujer sexualment enferma lesbiana vengan discriminando pue exagerando humano rechaza nero padec disforia bueno tiempo concepto feminismo muri inescrupuloso inescrupulosa colgaron movimiento interes tico econ mico sexual,-1.0,0.35394057631492615,0.11675024777650833,0.01503707654774189
8,20,hL1VUOOGWFw,UCVwSt6CimHtFPMXjl8BLk9Q,"Solo en el insiso donde mencionaste que mujeres fueron asesinadas en América latina, no tiene que ver con desigualdad, igualmente asesinan a hombres",[0. 0. 0. ... 0. 0. 0.],solo insiso mencionast mujer asesinada rica latina desigualdad igualment asesinan hombr,-1.0,0.6105155348777771,0.18227633833885193,0.02452131360769272
9,21,hL1VUOOGWFw,UCYXvRzm_8PZZSm_nhK76ieg,"Me gusta mas la palabra equidad que igualdad, porque la igualdad a veces no libera, si no que sigue oprimiendo. Cómo por ejemplo, la ley de 50 y 50 de los gastos en los hijos de padres separados. Esa igualdad no funciona cuando las madres son casi siempre quienes velan al 100% por el hijo. Eso no es equitativo, eso es injusto.",[0. 0. 0. ... 0. 0. 0.],gusta palabra equidad igualdad igualdad vece libera sigu oprimiendo ejemplo gasto hijo padr separado igualdad funciona madr casi siempr velan hijo equitativo injusto,-1.0,0.138095423579216,0.05206111818552017,0.012256107293069363
10,23,hL1VUOOGWFw,UCrcIvS430XvfeTvZ7D0EETQ,Pues si el feminismo no es algo malo pero actualmente el feminismo no es el igualitarismo que es lo que busca sino que busca la superioridad y es algo triste porque nacio como una causa justa,[0. 0. 0. ... 0. 0. 0.],pue feminismo malo actualment feminismo igualitarismo busca sino busca superioridad trist nacio causa justa,-1.0,0.14165513217449188,0.04116657003760338,0.012585660442709923
