,video_id,author,comment,vectores_tfidf,comment_stem,sentiment
0,WdtyLi2wBDs,UC1rwE0pwb1Q_m0Cefl-bVOA,Todos los de la monarquia són únos vividores! Estan allí por el dinerito y la buena vida,[0. 0. 0. ... 0. 0. 0.],monarquia vividor estan dinerito buena vida,-1.0
1,WdtyLi2wBDs,UC1rwE0pwb1Q_m0Cefl-bVOA,Sabeis porque el viejo se fue de españa? Porque tenia miedo de que lo mataran. Su esposa.,[0. 0. 0. ... 0. 0. 0.],sabei viejo espa tenia miedo mataran esposa,-1.0
4,WdtyLi2wBDs,UCgW7xHsCcD7fCUpo0g0OkeA,La mayoría que son republicanos la verdad es por que estan de moda o seo piensan,[0. 0. 0. ... 0. 0. 0.],mayor republicano verdad estan moda piensan,-1.0
9,WdtyLi2wBDs,UCiC-gMBBwMTooB6QDiMzn8Q,"Increíble!!, por esto China y varios paises asiáticos estan mucho mas avanzados que el decadente occidente",[0. 0. 0. ... 0. 0. 0.],incr china vario pais tico estan avanzado decadent occident,-1.0
11,WdtyLi2wBDs,UChxpI5Pa84TgzAeOAV9KXuw,"Sánchez a conseguido desprestigiar a la corona y Felipe ( no le llamo Rey por no tener lo que hay que tener ) lo que tiene que hacer como institución,  es posicionarse . De él depende quedarse solo y si calla para mi sería un TRAIDOR OPORTUNISTA POR SEGUIR UN TIEMPITO MAS EN ZARZUELA",[0. 0. 0. ... 0. 0. 0.],nchez conseguido desprestigiar corona felip llamo tener tener hacer instituci posicionars depend quedars solo calla traidor oportunista seguir tiempito zarzuela,-1.0
17,WdtyLi2wBDs,UC9lTKxXXhj74pvt_VOAWfVQ,"Si da un golpe encima de la mesa y nos libra del tirano y su caterva de sarnosos , seguiré siendo monárquico. De lo contrario, ya puede ir desfilando a Londres, con sus amigos masones",[0. 0. 0. ... 0. 0. 0.],golp encima mesa libra tirano caterva sarnoso seguir siendo rquico contrario pued desfilando londr amigo mason,-1.0
18,WdtyLi2wBDs,UCLfdkZk4Px0t8UMj2gGo2WQ,Y no estoy aa favor de la republica. Simplemente estoy de parte del progreso y si una sociedad no se vale por si misma sin necessidad de ser gobernado por nadie. Es una sociedad condenada,[0. 0. 0. ... 0. 0. 0.],favor republica simplement part progreso sociedad vale misma necessidad gobernado nadi sociedad condenada,-1.0
20,4i2m9Z47ETc,UCz6C2VCUGK90FxX82MBrEpQ,Lo que demuestra la encuesta es la ignorancia más absoluta de la entrevistadora y de la mayoria de los entrevistados.,[0. 0. 0. ... 0. 0. 0.],demuestra encuesta ignorancia absoluta entrevistadora mayoria entrevistado,-1.0
24,4i2m9Z47ETc,UCBud1913ER992wNpIjcgB5A,"ese sueldo no se lo cree nadie..

La monarquia es una estupidez cuando sabemos que en el mundo juzgamos a dictadores pero estos monarcas son peores, son VIVIDORES.. TODOS en todos los paises con monarquia..",[0. 0. 0. ... 0. 0. 0.],sueldo cree nadi monarquia estupidez sabemo mundo juzgamo dictador monarca peor vividor pais monarquia,-1.0
27,4i2m9Z47ETc,UCFTuN-H2mYi-aXqQ0bHrzrQ,"🤣🤣🤣 siempre igual. Todos muy de izquierdas cuando somos jóvenes, para ponernos medallitas de buena persona y tal. Luego creces y vas viendo cómo la izquierda miente y arruina, y ya no eres tan de izquierdas. Una dice que no quiere pagar a gente que no haga nada 🤣, piensa en monarquía y se olvida de los miles de políticos en España. Al menos la familia real es una sola familia a la que mantener. Otra encuesta amañada de, por, y para charos",[0. 0. 0. ... 0. 0. 0.],siempr igual izquierda vene ponerno medallita buena persona luego crece viendo izquierda mient arruina izquierda dice quier pagar gent haga piensa monarqu olvida mile tico espa meno familia real sola familia manten encuesta charo,-1.0
28,4i2m9Z47ETc,UCGk3hqk34C0e-_goHYbRtmw,"Monarquía y política son lo mismo en españistan, ambos cobran sin hacer nada 😛",[0. 0. 0. ... 0. 0. 0.],monarqu tica mismo espa istan ambo cobran hacer,-1.0
30,4i2m9Z47ETc,UCbVzrHmrA8mOMLEuo_ZMpJg,"Que nadie engaña la Inés, se va a tal barrio y justo pregunta a gente que vota a Podemos y se ve de lejos.
Preguntales por el ejército y te dirán más infatiladas.",[0. 0. 0. ... 0. 0. 0.],nadi enga barrio justo pregunta gent vota podemo lejo preguntal rcito infatilada,-1.0
31,4i2m9Z47ETc,UC_yS1jebWCyMxLJK3o5Umwg,"El precio de la luz y el carburante por las nubes y éstos preocupados por la monarquía...

¿No os dais cuenta? ¡Se mean en vuestra cara y os dicen que llueve!",[0. 0. 0. ... 0. 0. 0.],precio carburant nube sto preocupado monarqu dai cuenta mean cara dicen lluev,-1.0
32,4i2m9Z47ETc,UCoZU_4gowDRFT6RyXiTHJnQ,"La payasa esa ""influencer"" o ""periodista"" o cualquiera que sea el título con el que trabaja y que creo que trabaja en la pública da auténtica PENA. Generación más formada.",[0. 0. 0. ... 0. 0. 0.],payasa influenc periodista cualquiera tulo trabaja creo trabaja blica ntica pena generaci formada,-1.0
34,4i2m9Z47ETc,UCTpkc3UF0sEJJ7WZGj1vVcQ,Anda que si tienen que votar éstos monarquía o república...,[0. 0. 0. ... 0. 0. 0.],anda votar sto monarqu blica,-1.0
35,4i2m9Z47ETc,UCdyRzdlEw93UL9iSd9xQ2sQ,Ahora mismo el menor problema que tienen España es la monarquía florero que han montado. A los Borbones ya les tocará el turno de rendir cuentas...,[0. 0. 0. ... 0. 0. 0.],ahora mismo menor problema espa monarqu florero montado borbon tocar turno rendir cuenta,-1.0
36,4i2m9Z47ETc,UC8bculjskBm_oBu-kJxItPw,"Nadie ha respondido ni una función en el video, todos repiten la misma frase si te das cuenta, ""no hace nada"".",[0. 0. 0. ... 0. 0. 0.],nadi respondido funci video repiten misma frase cuenta hace,-1.0
37,4i2m9Z47ETc,UC8bculjskBm_oBu-kJxItPw,"Cuando la ciudadanía responde referendum no me parece mala idea pero acaso las nuevas generaciones no están adoctrinadas respecto a donde posicionarse en la monarquía, dime solo una persona 10 a 35 años que sepa enumerar algunas funciones del rey que aparezcan en la CE, ya te digo que ni el 10% sabría la respuesta, antes de intentar cambiar algo hay que informarse tanto si te gusta como si no.",[0. 0. 0. ... 0. 0. 0.],ciudadan respond referendum parec mala idea acaso nueva generacion adoctrinada respecto posicionars monarqu dime solo persona sepa enumerar funcion aparezcan digo sabr respuesta intentar cambiar informars gusta,-1.0
39,4i2m9Z47ETc,UCEJgdMh_rQNtMLrELZW1vhw,Nunca podremos votar xd,[0. 0. 0. ... 0. 0. 0.],nunca podremo votar,-1.0
