,comment,author,hateful,category
2056,"['Pero qué mentirosa y golfa eres, ni la UE ni ese estudio indica eso.']",UCaTd0bxmH_268kqjLnvfqog,0.9858835339546204,machismo
1994,['SE RECHAZÓ MENTIROSA.!!'],UCZHacuvuSvwq-uNQ8fEWKUA,0.9850887656211852,machismo
1776,['Por drogas y alcohol esta haci esa mujer.'],UCcM_-X-I4Q13HukW9PTqllw,0.9839437007904052,machismo
1140,['Ahora que se tragaron estos pinches chinos'],UCkJIW6Ef9vnSz8A_2TGFGFw,0.9764854907989502,racismo
1749,['Y la morra que sale hablando al principio seguirá inyectandose sin siquiera ver que el villanose murio por esa inyectarse esa cochinada de sustancias .'],UCrWhDVIiQwxA5SHOwB3XIPA,0.9760403633117676,racismo
1975,"['Como no lo van a oler con 250 para ganar 10 000 hay q ser escupido, al primer error directamente se corta, CUIDADO EL MISMO CUENTO DE EMBAUCAR ES CON MAS DINERO Y ESTAN LAS PAGINAS WEB DE CRIPTOMONEDAS;... CUIDADO!!!!!!!!     Es lo mismo que hace los africanos pidiendo dinero a mujeres viejas y haciéndose  pasar  como militares y enamorandolas, pero estos tipos NO SABEN LO QUE LES ESPERA!!!']",UCAWsEc8H9UYobrcQHi68Teg,0.9751592874526978,racismo
1399,['Esta señora no sabe ni donde esta parada'],UCI_GZwiDEbm9gaOF7HYjqHg,0.9746349453926086,machismo
1134,['PINCHES CHINOS QUE CHINGUEN A SU MADRE.'],UCW1P12YVOiO7reCjqehroGA,0.9742324352264404,racismo
996,['Fregados chinos que andan tragando ???'],UCM9Pwew91co9P30MlBK4-9Q,0.9741985201835632,racismo
1106,['Esa presentadora de amiga no tienen nada \U0001fae0'],UC6RSaCOX4FpO82rdZsqKLtw,0.9731282591819764,machismo
751,"['Se ve que usted no esta bien informada pues cuando bienen los emigrates ya bienen con derechos,bienen con los bolsillos bacios y aqui les dan vivienda luz agua alimentos y educacion gratuita concomedor y libros,si supieran las pegas que nos ponen a nosotros no lo podian creer, yo no he tenido ni para comer y ademas con una enfermedad,los gobiernos hacen unpscto con el pais de origen de los emigrantes y se les da de todo por ese pactoy claro cuando vamos a los servicios sociales desesperados y nos encontramos con la amabilidad que atienden a los emigrantes y las patadas que nos dan anosotros,pues ya ve que alegria ver a emigrantes que vengan a llevarse untrozo del pan que me correspondia.']",UCnluqzEsyq9bogJ1pxxwvWQ,0.969302773475647,racismo
1374,"['DAR GRACIAS A EE.UU QUE LES MANEJA COMO TITERES A LOS EUROPEONES, LOS HACE PELEAR POR SUS INETERESES ECONOMICOS Y SOBERANOS, EXPULSEN A LOS OLIGARCA YANKEES DE TURNO, QUE EE.UU SE ENCARGO HACE MUCHO TIEMPO EN COLOCARLOS PARA QUE JUEGUEN A SU FAVOR.']",UCikywVGz0QQqbL_2qeXkJxg,0.9679386019706726,ideología política
1909,"['Argentinos, Uruguayos, Chilenos e ingleses en el sur ,  Panameños, venzolanos, colombianos, ecuatorianos e ingleses en norte, ambos ejercitos nos impuesierón a la fuerza y con armas ¨Libertad¨ e ¨Independencia¨. Con España el Perú era el 25% del PBI de Sud América,  y luego pasó a representar menos del 10%,  nos endeudarnos a la fuerza x 100 años con los ingleses y franceses por prestamos que no pedimos, (y eso que Bolivar y San Martín se llevarón toneladas de oro y plata a Londres),  luego estos 2 paises nos invadierón con sus productos industrializados, perdimos el comercio con Filipinas y China a manos de los ingleses, a los hacendados en la sierra les expropiarón sus hectareas de terrenos y se pasó a la improductividad de la tierra y el agro llevandolos a la pobreza.  ¿Cuándo se jodio el Perú???  se jodío con esta independencia impuesta a la fuerza. Lima la ciudad de los Reyes, envidiada por todo sus vecinos,cayó en el atrazo. Latinoamerica paso de ser un solo pais a convertirse en 20 naciones pobres tercermundistas con odio entre ellos por falsos nacionalismos y guerras por fronteras que antes no existian.  En Perú guerras internas de caudillos corruptos financiados por empresarios corruptos para que sean presidenetes nos empobreció más y perdimos territorio,  situación que hasta la fecha se presenta con corruptos tipo;  Toledo, Ollanta, PPK, Vizcarra, Sagasti, Pedro Castillo, 2023  hay pobreza, analfabetismo, desnutición, dengue, estamos  peor que en el Virreynato.  Bueno,  solo queda educarse uno mismo en una institución particular, celebrar con la familia, viajar y conocer otros continentes otras personas y amores,  aprender idiomas  y hacer empresa para no trabajar en el estado como un caviar.  Salud.']",UCxhCZ3SwoDHD8lSg1e7pCTQ,0.9673880934715272,racismo
1605,['Los ricos le interesa que la gente trabaje y los negros son ignorantes flojos  y por eso se forman como asesinos como en Sudáfrica que están matando a los granjeros boers'],UCqsMmp8aeH6gvXmNTCIOCZQ,0.9652809500694276,racismo
