,comment,author,hateful,category
1865,"['TODA RIDICULA GERRA ,,,, SOLAMENTE TRAE MAS PENAS ,,,, Y MAS PROBLEMAS ,,,,']",UCIGmrIv2ZNY98fs3Terwsvg,0.9884803295135498,ideología política
1379,['E por que destruis mi vida y despues te alejas de mi por ser yo fuiste famoso llevas mi amor para ir a inbertir todos por ai atras de la mujer fasil ese amor es solo tu y yo no es de nadie yo nesesito de mi amor fuiste a disfrutar con otras de mi amor yo no te di para ir a regalar a otras mujer sinberbuenza vividora fea fea ya me pone nerviosa y me ase doler mi cabeza tu te burlas no mas de mi aqui y fuiste por ai otras ves a burlar de mi no quiero ver mas esa mujer toxsica'],UCP0lw0fYj1uEaPNCrylhJ2g,0.9873278737068176,machismo
3004,['esa colorada'],UCXb7fKxlT1yjnKxwlC7yooA,0.9872751235961914,machismo
2147,['Que se regresen los negros a su pais'],UCYj938TMtiT6SCSoftGBnnw,0.984918177127838,racismo
2962,['La Chilena es terrible de pesada.\nAtte\nUn Chileno'],UCK2gnNWLGJV-33HJ_wVs4yw,0.9848737716674804,ideología política
2638,['Muy antipatica esta mujer y eso qe igual fue pobre'],UCnQ1lG2uOosRqU2Yp3pBdVw,0.9838565587997437,machismo
3904,['VIVA AMLO Y LA 4T 🇲🇽💯❤👑\nY EL TREN MAYA vieja taruga'],UCo_yTeOQ_uTse9c_3ELx9Eg,0.983630359172821,ideología política
3958,"['Daniela es horrible, que fea es']",UCsdVCkiEjweK7VZj3UpyLnQ,0.9804819226264954,machismo
3948,['Yo no quisiera que ubiera venido es una madre corriente'],UCriz1Mck1qSTwojwTnmIjSw,0.97958505153656,machismo
899,"['Le sobran unos 25000 euros, por otro lado es curiosa, y poco convecional.']",UCaigcL9xzWP29E-q8HoDkiw,0.9786094427108764,machismo
2016,"['Primero rruinan económicamente a Argentina, después en viciar a la población para que no se casen, no tienen hijos para despoblar completamente la Nación. \nComo están en la ruina, y venden toda la pampa argentina a los judíos millonarios norteamericanos. \nLa tribu de los mapuches se multiplican por cien y su jefe indio lo preparan en Inglaterra. \nUna vez en la ruina y sin población, los judíos norteamericanos y los norteamericanos se hacen dueños del país. \nAlgo por igual va a pasar con todos los países hispanohablantes. Sociedad de tontos y viciosas.']",UC8wZNRu1QWzL2ZpLIrpGrtw,0.9777361154556274,racismo
2641,['Es una tonta con dinero…. Así es la gente cuando no es de cuna de oro. Una cosa es ser rico y otra un ricachon. Y ella es lo segundo.'],UC7bTT3iNpu8sH3AxIiD75jQ,0.9768725633621216,machismo
3338,"['esa bruja no acierta nunca, dijo que la foca se quedaba con yahaira']",UCItejkCSnIILlWTcLfRLUPw,0.976084530353546,ideología política
1665,"['Como no lo van a oler con 250 para ganar 10 000 hay q ser escupido, al primer error directamente se corta, CUIDADO EL MISMO CUENTO DE EMBAUCAR ES CON MAS DINERO Y ESTAN LAS PAGINAS WEB DE CRIPTOMONEDAS;... CUIDADO!!!!!!!!     Es lo mismo que hace los africanos pidiendo dinero a mujeres viejas y haciéndose  pasar  como militares y enamorandolas, pero estos tipos NO SABEN LO QUE LES ESPERA!!!']",UCAWsEc8H9UYobrcQHi68Teg,0.9751592874526978,racismo
1019,['Se hacen endejos los gringos ponen su  reja siempre dentro de territorio Mexicano'],UC6_TGi14xMEfTBnl1HyRQFQ,0.9740768671035768,racismo
2183,['Tu eres mala'],UCtZH5c_gGrK8PjRWPJDPSPw,0.9740691781044006,machismo
2276,"['las tierras de lo que llaman america ni es de los gringos ni de los mexicanos descendientes de españoles.\nestas tierras son de los indigens nativos , los gringos son usurpadores tanto los llamados gringos o blancos  anglos y   los  descendientes de españoles, de parte de lo llamado mexico., la invacion ilegal es tanto de los anglos como de los españoles.']",UCz0KId3DtxNEjue1dsJA_HQ,0.9739416241645812,racismo
3750,['Discúlpame con mucho respeto te digo que esa Pilar Vidal es una 👹'],UCFPWNCZca8smPCwDr-Zl3Vg,0.9736254811286926,machismo
314,"['Compran los rusos, los marroiquíes y los chinos... El resto, los de aquí, no curran y no tienen ni un ""clavo""...']",UCtgPopSmsRkqN5gRmLMKfOQ,0.9730708003044128,racismo
991,"['ES UNA ADVENEDIZA, ESPÍA DE LA CORONA']",UCwU_r2JKINOS9uOqvIfeMmA,0.9721330404281616,ideología política
2136,"['A ver qué dicen de Mexico, si lo atacan como a los dominicanos, que nos crucifican si los deportamos. El que defienda que se queden los haitianos masivamente en otro país más pobre, que cooperen y se lleven dos millones de ellos a sus países. Que los repartan hacia esos países que juzgan a RD por no dejar que nos llenemos de ellos. Así es que deben ayudar, no hablando ńeca.']",UCHVFmGbfXac-YL5qw8hns8g,0.971612513065338,racismo
954,['Dios que se calle esa senora...'],UCeBwI2tsI313ceOfx48OZeQ,0.9712479114532472,machismo
3795,['PD: La piba que hace de diputada (la del marginal) es un desastre!'],UCnS5N4LdaWUTq9pjozSdT-g,0.9710618257522584,ideología política
3764,"['ESA JESSICA SIEMPRE DE BARBERA CON EL SR INFANTE, ME CAE MAL 👎🏻❌  NADA AUTÉNTICA , NO TIENE NADA BUENO QUE OPINAR SI NO COPIA AL SR, DE HUEVA ESA MUJER 😏']",UCFImoZWujr1HguRU7cencsw,0.9710432887077332,ideología política
941,"['Esa señora es una impresentable, q asco la he cogido. A ella si la tenían q desalojar.']",UCRASC4ubAnYXmm_dRTbUwIA,0.9704360961914062,machismo
2200,['Fuera colonos sionistas.'],UCx9JCNRo8UNH-RqzDq18ZhQ,0.9698359966278076,ideología política
952,['Esta señora no tiene piedad.'],UCN_ZuSNiIxrV8eigG3v5I2w,0.9697093963623048,machismo
848,"['Está mujer está quedando más loca que saber quién diablo, chanchada estás disque charlas, los mismes jaja solo verga']",UCnG9s-oShSfpYfHS6wObGhg,0.9694632887840272,machismo
3286,['Y esaa viejas que hacen con esos sombreros! Parecen gallos!'],UCiE33Zh7NS2QNT_WB2pX4pg,0.9692153334617616,racismo
2010,"['Los marrones que se creen blancos y europeos, se creen todo menos argentinos , la África de América']",UCd8C87n3Cyd5BMdPVqK7gHw,0.9668998122215272,ideología política
2018,['Los Argentinos cuando vienen al Peru llegan a Miraflores lugar de clase media.    En el Peru existe muchisima pobreza ..La gente pobre se alimenta de caldos de huesos. Es otra realidad muy diferente al Argentina.   Aqui se les abre las puertas a los Argentinos por su FACHA.    Osea por su buena presencia🙂'],UCReOOPK2wsRMPUXs047XP_Q,0.9666137099266052,ideología política
147,"['Viviendo en Baleares, con un buen salario y apoyo familiar no puedo ni oler una vivienda digna. Especuladores extranjeros campan a sus anchas y compran todo. Los propios propietarios mallorquines si no eres aleman ni te muestran el piso. Los hijos de los inmigrantes, mayormente con trabajos precarios y sin arraigo, empiezan a asumir que les han vendido la moto y muchos quieren irse. Sinceramente, por mi que reviente todo']",UCMJZN1RD_qj7bzQdY77s_9A,0.9656944274902344,racismo
1225,['Jamás vemos a indígenas en estas cosas puros negros!'],UCAuWVQVyw7z5HlVYE8RxKgQ,0.9648983478546144,racismo
2173,"['Es simplemente parte del Robo de la Iglesia y los Reyes Españoles.\nUn indígena que no hablaba español , y pobreza . Que dijeron . De aquí somos y sacamos dinero y trabajo gratis . Siglo XXI , eso se lo dejamos a los ancianos , que ya no cambiarán . A los cantantes q visitan el templo . Para venderles el amor q les tienen y vendan sus discos . \nOjalá , venga otra educación para nuestro México .']",UCl7-DvrdWe3Hkt5CyHqELiA,0.9646244049072266,racismo
1388,"['son unas parasitas completas, tienen para vivir con ropa cara y hasta pa un auto pero no para pagar una casa.']",UCg6t8lNKd979EzblC42hiEw,0.9642096757888794,racismo
1767,['LA CÍNICA IDH…'],UC6MeJvb7qkvNWeiR_zMh4TQ,0.9640527963638306,ideología política
2167,"['Cólon Era Judío Marrano Que Fingía Ser Católica Y La Famosa Carabela Santa María Nunca Existio Era La Niña,La Pinta Y La Gallega']",UCO_hGWhhWc9pIRpVXyJG1Ww,0.9635009169578552,racismo
450,['Ese hombre es sin verguenza y esa tipa es cochuda  pero todo lo que le hicieron a shakira la van a pagar el karma exsiste y en esta  vida todo se paga ella es una mujer hermosa por dentroy por fuera como la lastimaron la hicieron sufrir esta familia se podria llamar pique y esos suegros asco de personas como la trataron a ella como si fuera una persona extraña pero ella no esta sola tiene a mucha gente que la quiere en el mundo entero  y a este pique cuando se le acabe la plata volvera a ella pedirle 😊'],UCk4Mf81Tvet6OcKdbTMmQvw,0.963241696357727,machismo
824,['PORQUE. LOS DE USA SON PIRATAS. DEL MUNDO 🌎.. PUROS. RATAS …'],UC4ERx9ABU09U2Pw5u5EB6cg,0.9628393650054932,racismo
3753,['MAICA..gracias Eres  buena  comunicadora ... pilar Que pesada de mujer...'],UCwSvmcbsDEvAs6BLpg1Kbow,0.9626720547676086,ideología política
1162,"[""Mucho Rollo...no se aceptan los mormones porque son gandallas .se casan con niñas  los viejones  .los manda mas ..realizan incesto.. tienen chingo de viejas puras niñas   ..las viejitas las descriminan..por eso digo son mamones y gandallas.  . jajajajajajaja jajajajajajaja. Mamones   yo creo que de eso salio el nombre .mornones. mamones...tiene gracia.jajajaja. y se escudan el la religion .es todo .. los corrieron de utha la tierra de los mormones. .y emigraron para mexico.  Un pais corrupto y sin ley  .es todo .\nbien convenencieros los machos ....la mujeres son como esclavas . ..por eso los corrieron de la USA. .por satiros y adulteros .. a Johny Smith'.  Lo mataron en una ventana cuando escapaba de alguien al que estaba sanchando . Le dejo caer ls 6 tiros  de la masorquera.... y\nYo digo que profeta es ese.? Y porque nadie habla de eso .\neso es verdad.  si no lo saben ? informense..como que tiene gracia .pero es cierto .🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣""]",UCZsb5lne0DFEQF-2HnKhIpg,0.962669551372528,racismo
2139,"['La verdad México, ya no debería permitir la entrada de más inmigrantes, porque solo han venido a causar destrucción, desmanes, problemas junto con los venezolanos y que no respetan las reglas de un país. Uno que otro si respeta y es educado. \nDonde deben exigir, protestar y causar todo tipo de desmanes es en sus respectivos países con sus gobernantes. \nPero AMLO, ya debería sacar a TODOS los inmigrantes. He dicho. 🤫']",UCxoZEbcguFQHcZTFbVVqY3A,0.9625492691993712,racismo
1433,['Los Españoles solo vineron a rrobarse el Oro de esta Isla eso Azaroso'],UCB8puYwZUpfWcljUiKRI2zw,0.962368667125702,racismo
1435,"['1. Los haitianos son 200 veces más racistas que nosotros. \n2. República Dominicana es 300 veces más rica, lo que sucede es que los políticos se lo roban todo. \n3. Los haitianos y los dominicanos nunca seremos hermanos , el odio que ellos nos tienen nunca permitirá ningún sentimiento positivo con nosotros. \n4. A los dominicanos eso nos resbala, que viva RD y punto.']",UCGdqzFeC3hIGFYj4pR-n7IA,0.9621251821517944,racismo
3568,['Las OTAN Deveria entrar a Ucrania.A comatir a los Nazis Rusos.y Que se forme los que quieras Rusia.Hay que parar a Rusia.Sin miedos.'],UCz6AhmGCQM50mEBsRgAX8yQ,0.961763858795166,ideología política
1342,"['Si hubieran sido mexicanos de seguro el imperio narco seria mas grande todavía, y mas dolor de cabeza para la justicia al tener que lidiar con mas espacio para controlar. Conclusión, están mejor con EEUU, sino anda y pregúntale a la gente qje vive en esos territorios si le gustaría volver a ser mexicanos.']",UC_nPdrEKnC83uZUZbx1OZVw,0.9610452055931092,racismo
