,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggressive
2,I5w1AAobW8s,UCto_SVmmT9hNhbZggg5d_lQ,Nunca entendí la paradoja,[0. 0. 0. ... 0. 0. 0.],nunca entend paradoja,-1,0.021377773955464363,0.013873698189854622,0.022382674738764763
3,I5w1AAobW8s,UC_Lsf-FaOHaDngyoSlro4EQ,DR. EL DISCLOFENACO EN GEL SIRVE PARA LAS HERIDAS O PURO GOLPE,[0. 0. 0. ... 0. 0. 0.],disclofenaco sirv herida puro golp,-1,0.04186796024441719,0.02898557484149933,0.026195382699370384
6,I5w1AAobW8s,UCGB2Pa2FWs1sVKixYLgwp9w,Gracias!!! Hace falta!,[0. 0. 0. ... 0. 0. 0.],gracia hace falta,-1,0.03733062371611595,0.022599156945943832,0.025818603113293648
19,I5w1AAobW8s,UCNz9X69i2_0vP8CUWq8vEOw,Yo quiero morir por un paro .... por favor Dios ayudame ya quiero verte...,[0. 0. 0. ... 0. 0. 0.],quiero morir paro favor dio ayudam quiero vert,-1,0.010528589598834515,0.0067276014015078545,0.01051612850278616
20,66hLQrs1Urs,UCoIAfQ1kKXGH8xQMhPp4hCA,La sanidad española era mala,[0. 0. 0. ... 0. 0. 0.],sanidad espa mala,-1,0.6439465284347534,0.3755464553833008,0.5305121541023254
21,66hLQrs1Urs,UCWCEaMNgG--v4_xMA3-91CQ,"SI OS CUENTO QUE EN ALGECIRAS CADIZ DESDE HACE 3 MESES ESTOY ESPERANDO QUE ME HAGAN UNA ECOGRAFIA,UNA PRUEBA QUE NO TARDA MAS DE 10 MIN...PERO ME TENGO QUE VOLVER IGUAL Y SIN REMEDIO NI ATENCION NINGUNA,PARA CAGARME EN SUS MUERTOS.",[0. 0. 0. ... 0. 0. 0.],cuento algecira cadiz hace mese esperando hagan ecografia prueba tarda volver igual remedio atencion ninguna cagarm muerto,-1,0.06700552254915237,0.008171453140676022,0.027537688612937927
22,66hLQrs1Urs,UCdjm_tzNjS6FZhbcw30eauw,"Buena la sanidad ?Otro mito urbano .
A mi madre le decían en el ambulatorio de Las Delicias en Malaga que las molestias del cuello se debían a tiroides. Cuando ya no pudo respirar mi madre fue a urgencias y tenia un cáncer de garganta  tamaño naranja que la decapitó un par de meses más tarde.
A mi padre este año 2023 en el mismo ambulatorio la Dra Orellana le decía que los dolores del  sistema digestivo eran gases hasta que también tuvo que ir una noche a urgencias y tenia cáncer de colon y metastasis. Duró el pobre un mes rabiando. Esta asesina que no prescribió ni una sola prueba y otros andan sueltos y representan a la sanidad española. Que ningún español vaya a los ambulatorios si no es por tema recetas o resfriados porque en Málaga al menos estos facultativos literalmente te matan.
La justicia divina se lo pagará todo.",[0. 0. 0. ... 0. 0. 0.],buena sanidad mito urbano madr ambulatorio delicia malaga molestia cuello tiroid pudo respirar madr urgencia tenia ncer garganta tama naranja decapit mese tard padr mismo ambulatorio orellana dolor sistema digestivo gase tambi noch urgencia tenia ncer colon metastasi pobr rabiando asesina prescribi sola prueba andan suelto representan sanidad espa ning espa vaya ambulatorio tema receta resfriado laga meno facultativo literalment matan justicia divina pagar,-1,0.19681288301944733,0.018265651538968086,0.103654645383358
23,66hLQrs1Urs,UC9mbc4dc0jVLsOnDJ2Qg5rg,"La sanidad pública está abandonada en beneficio de la privada ,",[0. 0. 0. ... 0. 0. 0.],sanidad blica abandonada beneficio privada,-1,0.1752663403749466,0.050396986305713654,0.09118563681840897
25,66hLQrs1Urs,UCXzxZsxBc0suVAymrnb21Zw,Esto es el progreso que predica la izquierda,[0. 0. 0. ... 0. 0. 0.],progreso predica izquierda,-1,0.06990566849708557,0.016512317582964897,0.029382454231381416
27,66hLQrs1Urs,UCesgrSv55dkzTV4CPRBlUZw,"El problema de la sanidad pública ha sido la politización de la misma, y la entrega de la competencia a las CCAA. 
Se gastan el dinero en paguitas, en vez de invertir en lo que se necesita en sanidad, ellos conlleva en profesionales, infraestructuras e investigación. 
Hay que añadir, la cantidad de personas que no contribuyen a la seguridad social, incluyendo los inmigrantes ilegales, y otros muchos  que viven de ayudas sociales sin contribuir en nada.",[0. 0. 0. ... 0. 0. 0.],problema sanidad blica sido politizaci misma entrega competencia ccaa gastan dinero paguita invertir necesita sanidad conlleva profesional infraestructura investigaci adir cantidad persona contribuyen seguridad social incluyendo inmigrant ilegal viven ayuda social contribuir,-1,0.6098722219467163,0.007091021630913019,0.26252681016921997
29,66hLQrs1Urs,UClqjTsaNylwjplvPc7f0kdw,Es muy dificil cuantificar o misurar la calidad del sistema sanitario de un pais. Decir que es el mejor del mundo no seria correcto.,[0. 0. 0. ... 0. 0. 0.],dificil cuantificar misurar calidad sistema sanitario pai decir mejor mundo seria correcto,-1,0.04049219936132431,0.005879819858819246,0.015093234367668629
31,66hLQrs1Urs,UCmsiTuNTWtORLFlK-6Gp2TA,"En serio despues de toda la exposicion la reflexion final pasa por el copago o la privatizacion? Si uno de los problemas es la falta de personal medico, que va a hacer la empresa privada ademas de robar los recursos al sector publico con la complicidad de algunos gobiernos autonomicos?",[0. 0. 0. ... 0. 0. 0.],serio despu toda exposicion reflexion final pasa copago privatizacion problema falta person medico hacer empresa privada adema robar recurso sector publico complicidad gobierno autonomico,-1,0.06528770178556442,0.007397864945232868,0.027622990310192108
32,66hLQrs1Urs,UCuSKofWUbI3wwDDHQt091kg,La cita en atención primaria es nefasta desde hace 6 años atrás y con las especialistas a los que te derivan también.,[0. 0. 0. ... 0. 0. 0.],cita atenc primaria nefasta hace especialista derivan tambi,-1,0.06653918325901031,0.01677623763680458,0.03501809015870094
33,66hLQrs1Urs,UCGxxAjeENH9-as1Fb3fDSwg,"Falta de financiación, desdén, maldad, sanidad privada y benéficos empresariales",[0. 0. 0. ... 0. 0. 0.],falta financiaci desd maldad sanidad privada fico empresarial,-1,0.08872868120670319,0.014145942404866219,0.050108060240745544
34,66hLQrs1Urs,UCgGCQHCQKB-8IiNmk6PEVFQ,La SANIDAD Pública ya no es LO QUE ERA.... ES UNA GRAN BRECHA...,[0. 0. 0. ... 0. 0. 0.],sanidad blica gran brecha,-1,0.04805352911353111,0.020327158272266388,0.027036231011152267
35,66hLQrs1Urs,UCL4uE5kgqmECdzqYFbO8FUA,"Se gasta más en sanidad, pero no es suficiente el dinero que llega, esto es verdad absoluta. Pero nadie se pregunta porqué?, Ayer fui a visitar a un familiar al hospital, en una planta de cuidados de 20 habitantes, 10 estaban ocupadas, y había 28 sanitarios de turno en planta (entre enfermer@s, auxiliares y celador@s. Sin contar médic@s), vari@s estaban chanlandoen los pasillos, otr@s varios charlando en la sala de descanso, otr@s tomando café, otr@s viendo televisión su serie favorita en turno de trabajo. Etc. Etc. Cada vez que una Consejería se quiere justificar, o conseguir más electorado,saca plazas publicas en sanidad. Lo que hace que los hospitales y los parkings de los hospitales estan abarrotados, pero no por usuarios o demandantes de sanidad, sino por los propios empleados públicos a los que todos tenemos que mantener. Esto nadie se lo plantea, y  nos preguntamos donde va el dinero que se destina a sanidad??",[0. 0. 0. ... 0. 0. 0.],gasta sanidad suficient dinero llega verdad absoluta nadi pregunta porqu ayer visitar familiar hospit planta cuidado habitant ocupada sanitario turno planta enferm auxiliar celador contar vari chanlandoen pasillo vario charlando sala descanso tomando viendo televisi seri favorita turno trabajo cada consej quier justificar conseguir electorado saca plaza publica sanidad hace hospital park hospital estan abarrotado usuario demandant sanidad sino propio empleado blico manten nadi plantea preguntamo dinero destina sanidad,-1,0.1222529485821724,0.011399692855775356,0.05873952805995941
36,66hLQrs1Urs,UCRCzOnNLiLQXsbUQ6eyiXCA,50 pavos por ir al  medico en irlanda no es el mejor ejemplo que alli no es mucho pero tampoco poco y aqui si es mucho 50 euros es mas de lo que cobra mucha gente en un dia de trabajo,[0. 0. 0. ... 0. 0. 0.],pavo medico irlanda mejor ejemplo alli tampoco aqui euro cobra mucha gent trabajo,-1,0.6299598217010498,0.022933874279260635,0.2136732041835785
37,66hLQrs1Urs,UCvVj3zte_Cuz7OfxURv8OQQ,El colectivo sanitario quejándose en Madrid de malos sueldos y demasiados pacientes por médico.. pero luego votando a Ayuso .... quejándose y acostandose con el diablo al mismo tiempo...,[0. 0. 0. ... 0. 0. 0.],colectivo sanitario quej ndose madrid malo sueldo demasiado pacient dico luego votando ayuso quej ndose acostandos diablo mismo tiempo,-1,0.08229226619005203,0.00949628371745348,0.03856780380010605
38,66hLQrs1Urs,UC3VmYzmvNsbqX07pc48HLGw,"La solución está clara, privatizar la sanidad de una vez para que los políticos quiten sus garras manirotas y aflorezca un libre mercado en competencia que nos beneficie a todos!",[0. 0. 0. ... 0. 0. 0.],soluci clara privatizar sanidad tico quiten garra manirota aflorezca libr mercado competencia benefici,-1,0.11283709853887558,0.012732899747788906,0.04493429511785507
39,66hLQrs1Urs,UCRIRJA9ZkseGLHQBNaUzjcQ,"PP quiere privatizar la sanidad, vendiendo hospitales públicos para beneficio de sus amigos, dando una sanidad mas cara y mas mala.",[0. 0. 0. ... 0. 0. 0.],quier privatizar sanidad vendiendo hospital blico beneficio amigo dando sanidad cara mala,-1,0.11013519018888474,0.027655430138111115,0.05666245520114899
43,3CHofbWaVm8,UC8oHZMixrYebtY0PG8yetTg,"tenemos una sanidad de 10 y unos profesionales de 10 ,lamentablemente algunas personas van a un  hospital y creen que es un hotel de 5 estrellas, solo tenemos que pensar que no estamos solos y adaptarnos a los tiempos que nos marcan ellos saben lo que hacen",[0. 0. 0. ... 0. 0. 0.],sanidad profesional lamentablement persona hospit creen hotel estrella solo pensar solo adaptarno tiempo marcan saben hacen,-1,0.029601672664284706,0.008614704944193363,0.01734737865626812
