,video_id,author,comment,vectores_tfidf,comment_stem,sentiment,hateful,targeted,aggressive
1,Wn0F5GO-Oho,UCRnKnTFehTGOWYqHQn2JCdg,"Me importa un soberano pito lo que pase con el  precio de la vivienda, como si se va al guano y tienen que comerse los ladrillos con patatas.

Había que decirlo y se ha dicho.",[0. 0. 0. ... 0. 0. 0.],importa soberano pito pase precio vivienda guano comers ladrillo patata decirlo dicho,-1,0.4611303210258484,0.03450258821249008,0.20528241991996765
2,Wn0F5GO-Oho,UCE0iZlxpYkiHtdGV-_P3QsQ,INMIGRACION = SALARIOS BAJOS / MENOS VIVIENDAS / ALQUILERES MAS CAROS,[0. 0. 0. ... 0. 0. 0.],inmigracion salario bajo meno vivienda alquiler caro,-1,0.4546302258968353,0.019985632970929146,0.11334533244371414
4,Wn0F5GO-Oho,UC59Mcw5k5kHT5aQUUTWlHkA,"¡COMO SE PUEDE PAGAR UN ALQUILER DE. 800.....900...€€
CUANDO EL SUELDO ES 750.. 800€ !   Los sueldos. No suben  hay muchas empresas   que todavia explotan a sus empleados solo se  gana 600€..750€   ES QUE NO SE ENTERAN  esE problema COMO  DICE NINGUN GOBIERNO HACE NADA POR MEJORAR EL PRECIO DEL ALQUILER.
Es un abuso el precio del Alquiler. 5:32",[0. 0. 0. ... 0. 0. 0.],pued pagar alquil sueldo sueldo suben mucha empresa todavia explotan empleado solo gana enteran problema dice ningun gobierno hace mejorar precio alquil abuso precio alquil,-1,0.09754414856433868,0.007530572824180126,0.03971860557794571
13,Wn0F5GO-Oho,UCy0Ul2beXaOmjfmYtocQikA,"Socialismo puro y duro.... camino al desastre económico. Es lo mismo que hacen los socialistas en muchas partes del mundo  para el control y el  clientelismo de los votantes. Pero el ciudadano no aprende, cree en los relatos y promesas de estos mentirosos y sigue votando a esta casta de ineptos socialistas que se cargan  los países que tocan. Da ganas de reír, pero en verdad es para llorar al ver como empobrecen a la gente y arruinan países.
Lo dice uno que vive en Chile, donde hace 15 años éramos un ejemplo de crecimiento y desarrollo y hoy estamos entre los últimos de Sudamérica. En 10 años los socialistas nos arruinaron y siguen... se desató el clientelismo. Para que trabajar... si el gobierno de izquierda te promete leyes de beneficios,  subsidios y bonos... el Estado Social de Derechos... total, se financian con más impuestos... ¿y quién produce? Mientra la deuda crece... todos más iguales pero más pobres. Hermoso.😢😢",[0. 0. 0. ... 0. 0. 0.],socialismo puro duro camino desastr econ mico mismo hacen socialista mucha part mundo control clientelismo votant ciudadano aprend cree relato promesa mentiroso sigu votando casta inepto socialista cargan tocan gana verdad llorar empobrecen gent arruinan dice vive chile hace ramo ejemplo crecimiento desarrollo ltimo sudam rica socialista arruinaron siguen desat clientelismo trabajar gobierno izquierda promet ley beneficio subsidio bono social derecho total financian impuesto produc mientra deuda crece igual pobr hermoso,-1,0.3546435534954071,0.015388625673949718,0.18579506874084473
25,CDf4l2b_3pE,UCKRMkuUv-ti9TtACx3QL7UA,"Hola de nuevo Pablo , parece que todo lo que comente en mi anterior respuesta fue todo al contrario , vaya vaivenes del mercado , ahora parece que china exporta deflación a EEUU , ¿Podría Europa también entrar en deflación y así bajadas de precios?",[0. 0. 0. ... 0. 0. 0.],hola nuevo pablo parec coment anterior respuesta contrario vaya vaiven mercado ahora parec china exporta deflaci eeuu podr europa tambi entrar deflaci bajada precio,-1,0.2949732840061188,0.010875093750655651,0.08690585941076279
27,CDf4l2b_3pE,UCZDbEWTxSdFr8_GwliGhv_w,Un promotor buscando financiación pagando un video en el que nos dicen que la venta de vivienda no va a bajar. El lobo cuidando de las gallinas. Credibilidad cero,[0. 0. 0. ... 0. 0. 0.],promotor buscando financiaci pagando video dicen venta vivienda bajar lobo cuidando gallina credibilidad cero,-1,0.06856425851583481,0.01627020165324211,0.03137270361185074
30,CDf4l2b_3pE,UCz5XIpbUfH68auMsNrzRYPA,"Nunca, porque el propietario legal de toda la tierra urbalizable son los bancos y especulan con ella para que siempre valga el 70% de lo que vas a ganar en toda tu vida. Hasta que no haya ley que pare esto, así seguiremos.",[0. 0. 0. ... 0. 0. 0.],nunca propietario legal toda tierra urbaliz banco especulan siempr valga ganar toda vida pare seguiremo,-1,0.1806633323431015,0.008769363164901733,0.0642450824379921
33,CDf4l2b_3pE,UC3DuNxnVbSQOSu5xcA2Fuhg,"Bla bla bla. Los pisos no bajan hasta que la crisis llega y los despidos aumentan y los bancos no dan financiación. Y eso siempre llega , cuánto más noticias e que no bajan más cerca está la bajada",[0. 0. 0. ... 0. 0. 0.],piso bajan crisi llega despido aumentan banco financiaci siempr llega noticia bajan cerca bajada,-1,0.197304368019104,0.011727102100849152,0.06402204185724258
36,CDf4l2b_3pE,UCkr1pZmlTUQAWLh6DHAEG9w,"La vivienda está subiendo en euros, en pesos argentinos está subiendo aún más, pero en oro no está subiendo. Y si la miramos en bitcoin la vivienda está bajando. Entonces es la vivienda la que sube o la unidad de cuenta que usamos es mala y pierde valor?",[0. 0. 0. ... 0. 0. 0.],vivienda subiendo euro peso argentino subiendo subiendo miramo bitcoin vivienda bajando entonc vivienda sube unidad cuenta usamo mala pierd valor,-1,0.38827142119407654,0.025652902200818062,0.1278308928012848
39,CDf4l2b_3pE,UCQJAcP8Jwyogm5BTldHTLWw,"Así como en bolsa no estoy de acuerdo porque fallas mucho en este mercado que sí conozco desde hace muchos y puedo discutir con cualquiera puedo decir que tienes razón. Totalmente de acuerdo. Los pisos, en general, van a seguir subiendo por la escasez de oferta aunque no esperamos grandes subidas debido a la dificultad de acceder al crédito a buenos tipos de interés.",[0. 0. 0. ... 0. 0. 0.],bolsa acuerdo falla mercado conozco hace puedo discutir cualquiera puedo decir totalment acuerdo piso gener seguir subiendo escasez oferta aunqu esperamo grand subida debido dificultad acced dito bueno tipo inter,-1,0.0523083321750164,0.006394601427018642,0.021480105817317963
